Sample.ID,Organism,habitat,Org_Mor,Population_geo,R.S.,Climate,region_16S,lat,long,month,year,origin,swab,tm_max,tm_min,pre,elevation,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,BIOME,ECO_NAME,Family,Study,pielou_evenness,faith_pd,observed_features,shannon_entropy,Sample_id
515rcbc100_ER8415_S100,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pa,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.099384782,26.42281117,45,0.545806622,SRR23105276
515rcbc101_ER8415_S101,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pa,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.184816787,39.27343012,70,1.132794392,SRR23105275
515rcbc102_ER8415_S102,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pa,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.144441868,29.76720264,48,0.806702417,SRR23105264
515rcbc103_ER8415_S103,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pm,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.513717672,80.67564972,171,3.810681924,SRR23105261
515rcbc76_ER8415_S77,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pl,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.617903813,85.58382939,157,4.507373976,SRR23105260
515rcbc78_ER8415_S78,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pl,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.329609585,26.33972735,40,1.754158512,SRR23105259
515rcbc79_ER8415_S79,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pl,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.545417266,59.88050918,117,3.747215539,SRR23105258
515rcbc80_ER8415_S80,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pl,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.348908649,44.23570466,85,2.236291933,SRR23105257
515rcbc81_ER8415_S81,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pl,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.51198946,57.88909995,103,3.423417796,SRR23105256
515rcbc82_ER8415_S82,Ambystoma mexicanum,Aquatic,Ambystoma mexicanum_Aquatic,Ambystoma mexicanum_Aquatic_pl,L;B;S,Temperate,V4,19.2829546,-99.1024446,4,2021,mesocosm,body,27.7334232,9.69248962,41.4657555,2239,16.0791664,15.4916668,68.5471954,175.647583,26.8999996,4.30000019,22.5999985,17.1333332,13.7333336,18.1166668,13.7333336,704,150,7,96.4533615,409,23,207,23,Deserts & Xeric Shrublands,Central Mexican matorral,Ambystomatidae,PRJNA924965,0.358659037,26.8871614,34,1.824664525,SRR23105255
