Sample.ID	Organism	habitat	Org_Mor	Population_geo	R.S.	Climate	region_16S	lat	long	month	year	origin	swab	tm_max	tm_min	pre	elevation	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	BIOME	ECO_NAME	Family	Study
O033_ER8125-1_S33	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po	L;S	Temperate	V4	19.5158333	-99.4766667	7	2019	wild	body	17.7070427	6.98793745	90.2229767	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O037_ER8125-1_S37	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po	L;S	Temperate	V4	19.5158333	-99.4766667	7	2019	wild	body	17.7070427	6.98793745	90.2229767	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O053_ER8125-1_S52	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po	L;S	Temperate	V4	19.5158333	-99.4766667	7	2019	wild	body	17.7070427	6.98793745	90.2229767	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O048_ER8125-1_S48	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po	L;S	Temperate	V4	19.5158333	-99.4766667	7	2019	wild	body	17.7070427	6.98793745	90.2229767	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
LS079_ER8125-1_S77	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_pl3	L;S	Temperate	V4	19.5683333	-99.5	4	2020	wild	body	19.4052582	5.20496559	60.5023613	3389	9.98750019	12.625	70.9269638	163.180405	18.2000008	0.40000001	17.8000011	11.1999998	7.6833334	11.5333338	7.6833334	1070	210	15	87.2065964	587	54	462	54	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
LS067_ER8125-1_S66	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_pl2	L;S	Temperate	V4	19.5683333	-99.5	10	2019	wild	body	16.2910709	5.25469112	174.220688	3389	9.98750019	12.625	70.9269638	163.180405	18.2000008	0.40000001	17.8000011	11.1999998	7.6833334	11.5333338	7.6833334	1070	210	15	87.2065964	587	54	462	54	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O152_ER8125-1_S142	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po3	L;S	Temperate	V4	19.5158333	-99.4766667	1	2020	wild	body	14.6693487	-0.01718059	19.9821529	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
LS072_ER8125-1_S71	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_pl2	L;S	Temperate	V4	19.5683333	-99.5	10	2019	wild	body	16.2910709	5.25469112	174.220688	3389	9.98750019	12.625	70.9269638	163.180405	18.2000008	0.40000001	17.8000011	11.1999998	7.6833334	11.5333338	7.6833334	1070	210	15	87.2065964	587	54	462	54	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O043_ER8125-1_S43	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po	L;S	Temperate	V4	19.5158333	-99.4766667	7	2019	wild	body	17.7070427	6.98793745	90.2229767	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O034_ER8125-1_S34	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po	L;S	Temperate	V4	19.5158333	-99.4766667	7	2019	wild	body	17.7070427	6.98793745	90.2229767	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O254_ER8125-2_S23	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po4	L;S	Temperate	V4	19.5158333	-99.4766667	4	2020	wild	body	19.248642	4.8893404	62.4014397	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_2
O154_ER8125-1_S144	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po3	L;S	Temperate	V4	19.5158333	-99.4766667	1	2020	wild	body	14.6693487	-0.01718059	19.9821529	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
S240_ER8125-2_S9	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_ps3	L;S	Temperate	V4	19.5322222	-99.4483333	4	2020	wild	body	19.5943699	5.63741016	62.9788246	3194	10.6999998	12.8666668	71.0865555	168.859802	18.8999996	0.80000001	18.1000004	12.1999998	8.3166666	12.3166666	8.3166666	1031	204	14	88.2734833	572	50	452	50	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_2
O149_ER8125-2_S4	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po3	L;S	Temperate	V4	19.5158333	-99.4766667	1	2020	wild	body	14.6693487	-0.01718059	19.9821529	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_2
O094_ER8125-1_S91	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po2	L;S	Temperate	V4	19.5158333	-99.4766667	10	2019	wild	body	16.1601524	5.01983213	180.750626	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O243_ER8125-2_S12	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po4	L;S	Temperate	V4	19.5158333	-99.4766667	4	2020	wild	body	19.248642	4.8893404	62.4014397	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_2
O096_ER8125-1_S93	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po2	L;S	Temperate	V4	19.5158333	-99.4766667	10	2019	wild	body	16.1601524	5.01983213	180.750626	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
S005_ER8125-1_S5	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_ps	L;S	Temperate	V4	19.5322222	-99.4483333	7	2019	wild	body	18.4095135	7.53959036	86.0144959	3194	10.6999998	12.8666668	71.0865555	168.859802	18.8999996	0.80000001	18.1000004	12.1999998	8.3166666	12.3166666	8.3166666	1031	204	14	88.2734833	572	50	452	50	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O114_ER8125-1_S111	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po2	L;S	Temperate	V4	19.5158333	-99.4766667	10	2019	wild	body	16.1601524	5.01983213	180.750626	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O115_ER8125-1_S112	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po2	L;S	Temperate	V4	19.5158333	-99.4766667	10	2019	wild	body	16.1601524	5.01983213	180.750626	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O265_ER8125-2_S34	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po4	L;S	Temperate	V4	19.5158333	-99.4766667	4	2020	wild	body	19.248642	4.8893404	62.4014397	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_2
O106_ER8125-1_S103	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po2	L;S	Temperate	V4	19.5158333	-99.4766667	10	2019	wild	body	16.1601524	5.01983213	180.750626	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
S006_ER8125-1_S6	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_ps	L;S	Temperate	V4	19.5322222	-99.4483333	7	2019	wild	body	18.4095135	7.53959036	86.0144959	3194	10.6999998	12.8666668	71.0865555	168.859802	18.8999996	0.80000001	18.1000004	12.1999998	8.3166666	12.3166666	8.3166666	1031	204	14	88.2734833	572	50	452	50	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O245_ER8125-2_S14	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po4	L;S	Temperate	V4	19.5158333	-99.4766667	4	2020	wild	body	19.248642	4.8893404	62.4014397	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_2
O256_ER8125-2_S25	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po4	L;S	Temperate	V4	19.5158333	-99.4766667	4	2020	wild	body	19.248642	4.8893404	62.4014397	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_2
O113_ER8125-1_S110	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po2	L;S	Temperate	V4	19.5158333	-99.4766667	10	2019	wild	body	16.1601524	5.01983213	180.750626	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O109_ER8125-1_S106	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po2	L;S	Temperate	V4	19.5158333	-99.4766667	10	2019	wild	body	16.1601524	5.01983213	180.750626	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
S090_ER8125-2_S3	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_ps2	L;S	Temperate	V4	19.5322222	-99.4483333	10	2019	wild	body	16.6021805	5.57080174	169.285446	3194	10.6999998	12.8666668	71.0865555	168.859802	18.8999996	0.80000001	18.1000004	12.1999998	8.3166666	12.3166666	8.3166666	1031	204	14	88.2734833	572	50	452	50	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_2
O105_ER8125-1_S102	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po2	L;S	Temperate	V4	19.5158333	-99.4766667	10	2019	wild	body	16.1601524	5.01983213	180.750626	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
LS070_ER8125-1_S69	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_pl2	L;S	Temperate	V4	19.5683333	-99.5	10	2019	wild	body	16.2910709	5.25469112	174.220688	3389	9.98750019	12.625	70.9269638	163.180405	18.2000008	0.40000001	17.8000011	11.1999998	7.6833334	11.5333338	7.6833334	1070	210	15	87.2065964	587	54	462	54	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O267_ER8125-2_S36	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po4	L;S	Temperate	V4	19.5158333	-99.4766667	4	2020	wild	body	19.248642	4.8893404	62.4014397	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_2
LS016_ER8125-1_S16	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_pl	L;S	Temperate	V4	19.5683333	-99.5	7	2019	wild	body	18.0004025	7.24997902	86.3920059	3389	9.98750019	12.625	70.9269638	163.180405	18.2000008	0.40000001	17.8000011	11.1999998	7.6833334	11.5333338	7.6833334	1070	210	15	87.2065964	587	54	462	54	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
LS071_ER8125-1_S70	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_pl2	L;S	Temperate	V4	19.5683333	-99.5	10	2019	wild	body	16.2910709	5.25469112	174.220688	3389	9.98750019	12.625	70.9269638	163.180405	18.2000008	0.40000001	17.8000011	11.1999998	7.6833334	11.5333338	7.6833334	1070	210	15	87.2065964	587	54	462	54	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
LS209_ER8125-1_S193	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_pl3	L;S	Temperate	V4	19.5683333	-99.5	4	2020	wild	body	19.4052582	5.20496559	60.5023613	3389	9.98750019	12.625	70.9269638	163.180405	18.2000008	0.40000001	17.8000011	11.1999998	7.6833334	11.5333338	7.6833334	1070	210	15	87.2065964	587	54	462	54	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
T289_ER8125-2_S58	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_pt3	L;S	Temperate	V4	19.518056	-99.431944	4	2019	wild	body	19.5943699	5.63741016	62.9788246	3092	11.0166664	12.8833332	71.1786346	171.94519	19.2000008	1.10000002	18.1000004	12.5499992	8.58333397	12.6499996	8.58333397	1018	202	14	88.3146133	567	50	450	50	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_2
S004_ER8125-1_S4	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_ps	L;S	Temperate	V4	19.5322222	-99.4483333	7	2019	wild	body	18.4095135	7.53959036	86.0144959	3194	10.6999998	12.8666668	71.0865555	168.859802	18.8999996	0.80000001	18.1000004	12.1999998	8.3166666	12.3166666	8.3166666	1031	204	14	88.2734833	572	50	452	50	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O260_ER8125-2_S29	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po4	L;S	Temperate	V4	19.5158333	-99.4766667	4	2020	wild	body	19.248642	4.8893404	62.4014397	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_2
LS026_ER8125-1_S26	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_pl	L;S	Temperate	V4	19.5683333	-99.5	7	2019	wild	body	18.0004025	7.24997902	86.3920059	3389	9.98750019	12.625	70.9269638	163.180405	18.2000008	0.40000001	17.8000011	11.1999998	7.6833334	11.5333338	7.6833334	1070	210	15	87.2065964	587	54	462	54	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O045_ER8125-1_S45	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po	L;S	Temperate	V4	19.5158333	-99.4766667	7	2019	wild	body	17.7070427	6.98793745	90.2229767	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
T121_ER8125-1_S118	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_pt2	L;S	Temperate	V4	19.518056	-99.431944	10	2019	wild	body	16.6021805	5.57080174	169.285446	3092	11.0166664	12.8833332	71.1786346	171.94519	19.2000008	1.10000002	18.1000004	12.5499992	8.58333397	12.6499996	8.58333397	1018	202	14	88.3146133	567	50	450	50	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
S003_ER8125-1_S3	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_ps	L;S	Temperate	V4	19.5322222	-99.4483333	7	2019	wild	body	18.4095135	7.53959036	86.0144959	3194	10.6999998	12.8666668	71.0865555	168.859802	18.8999996	0.80000001	18.1000004	12.1999998	8.3166666	12.3166666	8.3166666	1031	204	14	88.2734833	572	50	452	50	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O251_ER8125-2_S20	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po4	L;S	Temperate	V4	19.5158333	-99.4766667	4	2020	wild	body	19.248642	4.8893404	62.4014397	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_2
O101_ER8125-1_S98	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po2	L;S	Temperate	V4	19.5158333	-99.4766667	10	2019	wild	body	16.1601524	5.01983213	180.750626	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O100_ER8125-1_S97	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po2	L;S	Temperate	V4	19.5158333	-99.4766667	10	2019	wild	body	16.1601524	5.01983213	180.750626	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O047_ER8125-1_S47	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po	L;S	Temperate	V4	19.5158333	-99.4766667	7	2019	wild	body	17.7070427	6.98793745	90.2229767	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O150_ER8125-1_S141	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po3	L;S	Temperate	V4	19.5158333	-99.4766667	1	2020	wild	body	14.6693487	-0.01718059	19.9821529	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
S092_ER8125-1_S89	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_ps2	L;S	Temperate	V4	19.5322222	-99.4483333	10	2019	wild	body	16.6021805	5.57080174	169.285446	3194	10.6999998	12.8666668	71.0865555	168.859802	18.8999996	0.80000001	18.1000004	12.1999998	8.3166666	12.3166666	8.3166666	1031	204	14	88.2734833	572	50	452	50	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
O156_ER8125-1_S146	Ambystoma altamirani	Aquatic	Ambystoma altamirani_Aquatic	Ambystoma altamirani_Aquatic_po3	L;S	Temperate	V4	19.5158333	-99.4766667	1	2020	wild	body	14.6693487	-0.01718059	19.9821529	3460	10.0458336	12.8416662	71.7411575	153.674072	18.2999992	0.40000001	17.8999996	11.1499996	7.86666679	11.5	7.86666679	1101	217	15	88.7748642	610	53	480	53	Tropical & Subtropical Coniferous Forests	Trans-Mexican Volcanic Belt pine-oak forests	Ambystomatidae	EMANUEL_1
